query,intent,brand,model,year,sensor
how Autonomous sensor works in 09 Ultra?,data_definition,Lynk & Co,09 Ultra,2023,Autonomous sensor
get me TPMS stats for 4,imperative_commands,Polestar,Polestar 4,2024,TPMS
first time Tyre Pressure was used in Lotus?,temporal_stats,Lotus,Emira,2022,Tyre Pressure
What types of NVH data are available for Volvo XC90?,data_definition,Volvo,XC90,2015,NVH
start date for Boot latch sensor logs 01,temporal_stats,Jiyue,01,2024,Boot latch sensor
High Voltage battery glitching on Starray?,anomaly_info,Geely Auto,Starray,2022,High Voltage battery
common range for CANBUS in Jiyue,statistical_query,Jiyue,01,2023,CANBUS
how is Traction battery data gathered for Geely Auto?,collection_method,Geely Auto,Geometry E,2025,Traction battery
is polestar 5 hv battery streaming,collection_method,Polestar,Polestar 5,2026,HV battery
common range for NVH in Zeekr,statistical_query,Zeekr,Mix,2025,NVH
01 Boot latch sensor data type?,data_definition,Lynk & Co,01,2020,Boot latch sensor
defonition of Lidar telemetry Polestar,data_definition,Polestar,Polestar 3,2024,Lidar
identify CANBUS anomalies Volvo,anomaly_info,Volvo,XC90,2021,CANBUS
qverage reading of ADAS Camera Polestar 5,statistical_query,Polestar,Polestar 5,2025,ADAS Camera
compare CANBUS between XC90 and XC90,comparative_analysis,Volvo,XC90,2015,CANBUS
why Control Nrtwork collection discontinued Polestar 4?,temporal_stats,Polestar,Polestar 4,2024,Control Network
difference in LiDAR data for Volvo vs Volvo,comparative_analysis,Volvo,S90,2025,LiDAR
is Hood sensor more accurate in Starray or Starray?,comparative_analysis,Geely Auto,Starray,2025,Hood sensor
since when High Voltage battery collected Polestar?,temporal_stats,Polestar,Polestar 2,2023,High Voltage battery
when stop trunk sensor for volvo,temporal_stats,Volvo,EX90,2025,Trunk sensor
what Trunk sensor means for car V60 Recharge?,data_definition,Volvo,V60 Recharge,2024,Trunk sensor
responsible person for tire pressure lynk & co,access_governance,Lynk & Co,05,2020,Tire Pressure
mean Lidar across Volvo fleet,statistical_query,Volvo,S90,2016,Lidar
show me outliers for adas camera in 009,anomaly_info,Zeekr,009,2025,ADAS Camera
LIDAR performance Geely Auto vs Lynk & Co,comparative_analysis,Geely Auto,Starray,2023,LIDAR
pull Tire Pressure history for 05,imperative_commands,Lynk & Co,05,2021,Tire Pressure
is 01 Autonomous sensor streaming?,collection_method,Jiyue,01,2024,Autonomous sensor
how CANBUS works in Geely Auto Geometry E?,data_definition,Geely Auto,Geometry E,2024,CANBUS
status of Tyre Pressure collection in Volvo,system_status_check,Volvo,S90,2022,Tyre Pressure
dofference in Traction battery data for Jiyue vs Jiyue,comparative_analysis,Jiyue,07,2024,Traction battery
for 01 what Noise and Vibration info exists?,data_definition,Jiyue,01,2023,Noise and Vibration
show Zeekr Control Network owner now,imperative_commands,Zeekr,001,2023,Control Network
bad data points in LiDAR EX30,anomaly_info,Volvo,EX30,2024,LiDAR
What types of LIDAR data are available for Jiyue 07?,data_definition,Jiyue,07,2025,LIDAR
request access to Emeya LiDAR,access_governance,Lotus,Emeya,2025,LiDAR
why ADAS Camera spikes in Zeekr?,anomaly_info,Zeekr,7X,2024,ADAS Camera
Show me outliers for HV battery in V60 Recharge,anomaly_info,Volvo,V60 Recharge,2025,HV battery
identify NVH anomalies Zeekr,anomaly_info,Zeekr,Mix,2025,NVH
for EM90 what Vision system info exists?,data_definition,Volvo,EM90,2024,Vision system
what is TPMS for Jiyue?,data_definition,Jiyue,01,2025,TPMS
check Hood sensor database health,system_status_check,Lotus,Evija,2021,Hood sensor
pull Traction battery history for 07,imperative_commands,Jiyue,07,2024,Traction battery
who owns the LiDAR dataset?,access_governance,Lotus,Emira,2022,LiDAR
what about Lidar on the 07?,contextual_followups,Jiyue,07,2024,Lidar
When did we start collecting High Voltage battery for 01?,temporal_stats,Jiyue,01,2023,High Voltage battery
why we use MDF4 for Control Network?,data_definition,Lynk & Co,05,2021,Control Network
tyre pressure glitching on 01,anomaly_info,Lynk & Co,01,2023,Tyre Pressure
why Lidar collection discontinued Mix?,temporal_stats,Zeekr,Mix,2024,Lidar
Boot latch sensor performance Polestar vs Polestar,comparative_analysis,Polestar,Polestar 4,2024,Boot latch sensor
why Trunk sensor spikes in Polestar?,anomaly_info,Polestar,Polestar 5,2025,Trunk sensor
frequency of Vision system errors Lynk & Co,anomaly_info,Lynk & Co,05,2021,Vision system
LIDAR history Zeekr,temporal_stats,Zeekr,Mix,2024,LIDAR
how Lidar works in Geometry E?,data_definition,Geely Auto,Geometry E,2024,Lidar
compare Acoustics between 01 and 009,comparative_analysis,Jiyue,01,2025,Acoustics
avg value for LiDAR EM90,statistical_query,Volvo,EM90,2024,LiDAR
check Lotus High Voltage battery database health,system_status_check,Lotus,Eletre,2024,High Voltage battery
is tire pressure more accurate in polestar 5 or polestar 5,comparative_analysis,Polestar,Polestar 5,2025,Tire Pressure
rrquest access to 05 Tire Pressure,access_governance,Lynk & Co,05,2022,Tire Pressure
is 01 Vision system streaming?,collection_method,Lynk & Co,01,2025,Vision system
average reading of LIDAR Polestar 4,statistical_query,Polestar,Polestar 4,2024,LIDAR
check Acoustics database health,system_status_check,Lotus,Emeya,2025,Acoustics
what CANBUS means for car Panda Mini?,data_definition,Geely Auto,Panda Mini,2023,CANBUS
What types of HV battery data are available for Volvo XC90?,data_definition,Volvo,XC90,2022,HV battery
is CANBUS more accurate in Geometry E or 07?,comparative_analysis,Geely Auto,Geometry E,2025,CANBUS
permission for Coolray High Voltage battery data,access_governance,Geely Auto,Coolray,2021,High Voltage battery
Polestar 4 CANBUS data type?,data_definition,Polestar,Polestar 4,2025,CANBUS
why we use mdf4 for boot latch sensor,data_definition,Jiyue,01,2025,Boot latch sensor
is HV battery more accurate in 03 TCR or 03 TCR?,comparative_analysis,Lynk & Co,03 TCR,2024,HV battery
get me Traction battery stats for Eletre,imperative_commands,Lotus,Eletre,2025,Traction battery
abnormal LiDAR readings 7X,anomaly_info,Zeekr,7X,2025,LiDAR
what is Hood sensor for Lynk & Co?,data_definition,Lynk & Co,05,2021,Hood sensor
What are the peaks of NVH in Zeekr 7X?,statistical_query,Zeekr,7X,2025,NVH
peak values Traction battery Mix last week,statistical_query,Zeekr,Mix,2024,Traction battery
what Tyre Pressure means for car 7X?,data_definition,Zeekr,7X,2024,Tyre Pressure
identify Noise and Vibration anomalies Jiyue,anomaly_info,Jiyue,07,2025,Noise and Vibration
is High Voltage battery more accurate in Emeya or Emira?,comparative_analysis,Lotus,Emeya,2025,High Voltage battery
pull Traction battery history for 03 TCR,imperative_commands,Lynk & Co,03 TCR,2021,Traction battery
mean High Voltage battery across Jiyue fleet,statistical_query,Jiyue,07,2025,High Voltage battery
show me outliers for lidar in 01,anomaly_info,Jiyue,01,2024,LIDAR
is trunk sensor data stream broken for 03 tcr,system_status_check,Lynk & Co,03 TCR,2019,Trunk sensor
what is Hood sensor average in Zeekr 7X?,statistical_query,Zeekr,7X,2025,Hood sensor
why Lidar collection discontinued Emira?,temporal_stats,Lotus,Emira,2024,Lidar
Lidar performance Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,01,2019,Lidar
get me High Voltage battery stats for Eletre,imperative_commands,Lotus,Eletre,2025,High Voltage battery
identify Vision system anomalies Zeekr,anomaly_info,Zeekr,007,2025,Vision system
is Evija TPMS streaming?,collection_method,Lotus,Evija,2020,TPMS
avg value for ADAS Camera 01,statistical_query,Lynk & Co,01,2025,ADAS Camera
Lidar description Volvo XC90,data_definition,Volvo,XC90,2024,Lidar
contact for 07 Bonnet sensor access,access_governance,Jiyue,07,2025,Bonnet sensor
is Traction battery data stream broken for XC60?,system_status_check,Volvo,XC60,2017,Traction battery
avg value for Hood sensor 001,statistical_query,Zeekr,001,2025,Hood sensor
average reading of Hood sensor Polestar 3,statistical_query,Polestar,Polestar 3,2023,Hood sensor
Who has access to Traction battery logs for Polestar?,access_governance,Polestar,Polestar 5,2025,Traction battery
production vehicle logs for Lynk & Co LiDAR?,collection_method,Lynk & Co,03 TCR,2024,LiDAR
avg value for LIDAR 001,statistical_query,Zeekr,001,2025,LIDAR
who working on NVH right now?,access_governance,Jiyue,01,2023,NVH
compare Control Network between 07 and 07,comparative_analysis,Jiyue,07,2025,Control Network
pull Lidar history for Polestar 2,imperative_commands,Polestar,Polestar 2,2022,Lidar
what is control network average in zeekr 7x,statistical_query,Zeekr,7X,2024,Control Network
production vehicle logs for Polestar Acoustics?,collection_method,Polestar,Polestar 5,2025,Acoustics
compare Noise and Vibration between Emira and Emeya,comparative_analysis,Lotus,Emira,2022,Noise and Vibration
permission for Emira Control Network data,access_governance,Lotus,Emira,2023,Control Network
how is CANBUS data gathered for Zeekr?,collection_method,Zeekr,001,2025,CANBUS
frequency of tpms errors volvo,anomaly_info,Volvo,S90,2024,TPMS
is TPMS more accurate in S90 or 07?,comparative_analysis,Volvo,S90,2020,TPMS
qvg value for Autonomous sensor Emigrant,statistical_query,Geely Auto,Emigrant,2023,Autonomous sensor
give me HV battery max min Eletre,statistical_query,Lotus,Eletre,2025,HV battery
what about Traction battery on the Polestar 5?,contextual_followups,Polestar,Polestar 5,2026,Traction battery
what Traction battrry means for car Polestar 2?,data_definition,Polestar,Polestar 2,2022,Traction battery
is TPMS still being recorded for 09 Ultra?,temporal_stats,Lynk & Co,09 Ultra,2024,TPMS
Who has access to Boot latch sensor logs for Lynk & Co?,access_governance,Lynk & Co,08 EM-P,2024,Boot latch sensor
difference in Boot lqtch sensor data for Zeekr vs Zeekr,comparative_analysis,Zeekr,Mix,2024,Boot latch sensor
first time CANBUS was used in Polestar?,temporal_stats,Polestar,Polestar 4,2024,CANBUS
average readong of CANBUS Coolray,statistical_query,Geely Auto,Coolray,2018,CANBUS
what about Bonnet sensor on the 2?,contextual_followups,Polestar,Polestar 2,2022,Bonnet sensor
how long we have Boot latch sensor data for 05?,temporal_stats,Lynk & Co,05,2021,Boot latch sensor
mean Tire Pressure across fleet,statistical_query,Lynk & Co,Z10,2025,Tire Pressure
bad data points in Control Network Evija,anomaly_info,Lotus,Evija,2022,Control Network
show Geely Auto High Voltage battery owner now,imperative_commands,Geely Auto,Emigrant,2022,High Voltage battery
when did we start collecting traction battery for ex30,temporal_stats,Volvo,EX30,2025,Traction battery
how LIDAR works in Lynk & Co 05?,data_definition,Lynk & Co,05,2024,LIDAR
what is HV battery for Lynk & Co?,data_definition,Lynk & Co,01,2025,HV battery
compare bonnet sensor between panda mini and 001,comparative_analysis,Geely Auto,Panda Mini,2024,Bonnet sensor
compare Hood sensor between Galaxy L7 and X,comparative_analysis,Geely Auto,Galaxy L7,2024,Hood sensor
Boot latch srnsor description Jiyue 07,data_definition,Jiyue,07,2025,Boot latch sensor
mran High Voltage battery across Volvo fleet,statistical_query,Volvo,XC60,2022,High Voltage battery
xince when Lidar collected Lynk & Co?,temporal_stats,Lynk & Co,03 TCR,2023,Lidar
Tyre Pressure history Polestar,temporal_stats,Polestar,Polestar 4,2025,Tyre Pressure
Autonomous sensor performance Polestar vs Polestar,comparative_analysis,Polestar,Polestar 3,2025,Autonomous sensor
explain Autonomous sensor context in EM90,data_definition,Volvo,EM90,2025,Autonomous sensor
mean Autonomous sensor across Zeekr fleet,statistical_query,Zeekr,X,2024,Autonomous sensor
compare tire pressure between polestar 3 and galaxy l7,comparative_analysis,Polestar,Polestar 3,2025,Tire Pressure
what is Tire Pressure for Geely Auto?,data_definition,Geely Auto,Coolray,2021,Tire Pressure
What types of Boot latch sensor data are available for EX90?,data_definition,Volvo,EX90,2026,Boot latch sensor
is HV battery data stream broken for Emeya?,system_status_check,Lotus,Emeya,2024,HV battery
bad data points in Tyre Pressure Polestar 5,anomaly_info,Polestar,Polestar 5,2025,Tyre Pressure
pull ADAS Camera history for Emeya,imperative_commands,Lotus,Emeya,2025,ADAS Camera
peak values hood sensor geometry e last week,statistical_query,Geely Auto,Geometry E,2022,Hood sensor
erratic Boot latch sensor data in Eletre,anomaly_info,Lotus,Eletre,2023,Boot latch sensor
Show me outliers for CANBUS in Evija,anomaly_info,Lotus,Evija,2022,CANBUS
get me Boot latch sensor stats for 07,imperative_commands,Jiyue,07,2024,Boot latch sensor
for 01 what Bonnet sensor info exists?,data_definition,Jiyue,01,2024,Bonnet sensor
NVH performance Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,01,2018,NVH
Noise and Vibration history Jiyue,temporal_stats,Jiyue,07,2024,Noise and Vibration
average reading of Traction battery Z10,statistical_query,Lynk & Co,Z10,2024,Traction battery
what is Autonomous sensor average in Jiyue 07?,statistical_query,Jiyue,07,2025,Autonomous sensor
pull Noise and Vibration history for EX30,imperative_commands,Volvo,EX30,2023,Noise and Vibration
ix NVH data stream broken for Polestar 2?,system_status_check,Polestar,Polestar 2,2025,NVH
Boot latch sensor performance Volvo vs Zeekr,comparative_analysis,Volvo,XC60,2024,Boot latch sensor
what are the peaks of vision system in volvo ex90,statistical_query,Volvo,EX90,2026,Vision system
peak values can-fd 09 ultra last week,statistical_query,Lynk & Co,09 Ultra,2024,CAN-FD
get me CAN-FD xtats for Polestar 3,imperative_commands,Polestar,Polestar 3,2023,CAN-FD
is Lidar data stream broken for Z10?,system_status_check,Lynk & Co,Z10,2024,Lidar
Is Noise and Vibration data live for Eletre?,collection_method,Lotus,Eletre,2025,Noise and Vibration
Show me outliers for Bonnet sensor in 7X,anomaly_info,Zeekr,7X,2025,Bonnet sensor
Bonnet sensor performance Jiyue vs Jiyue,comparative_analysis,Jiyue,01,2025,Bonnet sensor
what is LiDAR average in Jiyue 01?,statistical_query,Jiyue,01,2025,LiDAR
for 01 what hood sensor info exists,data_definition,Jiyue,01,2023,Hood sensor
Who has access to Tyre Pressure logs for Geely Auto?,access_governance,Geely Auto,Coolray,2018,Tyre Pressure
why LoDAR spikes in Zeekr?,anomaly_info,Zeekr,001,2023,LiDAR
bqd data points in Traction battery Polestar 2,anomaly_info,Polestar,Polestar 2,2023,Traction battery
start date for lidar logs 001,temporal_stats,Zeekr,001,2024,Lidar
is ADAS Camera still being recorded for 01?,temporal_stats,Jiyue,01,2025,ADAS Camera
why CANBUS spikes in Zeekr?,anomaly_info,Zeekr,7X,2025,CANBUS
get me Boot latch sensor stats for S90,imperative_commands,Volvo,S90,2021,Boot latch sensor
identify LiDAR anomalies Volvo,anomaly_info,Volvo,XC90,2022,LiDAR
is Control Network still being recorded for X?,temporal_stats,Zeekr,X,2025,Control Network
is Autonomous sensor data stream broken for Polestar 2?,system_status_check,Polestar,Polestar 2,2025,Autonomous sensor
status of CANBUS collection in Zeekr,system_status_check,Zeekr,X,2024,CANBUS
check Volvo LIDAR database health,system_status_check,Volvo,XC60,2019,LIDAR
when stop Bonnet sensor for Geely Auto?,temporal_stats,Geely Auto,Geometry E,2022,Bonnet sensor
diffrrence in CAN-FD data for Zeekr vs Zeekr,comparative_analysis,Zeekr,X,2024,CAN-FD
is vision system still being recorded for 05,temporal_stats,Lynk & Co,05,2024,Vision system
status of Control Network collection in Zeekr,system_status_check,Zeekr,X,2025,Control Network
compare Hood sensor between XC90 and Eletre,comparative_analysis,Volvo,XC90,2023,Hood sensor
pull vision system history for v60 recharge,imperative_commands,Volvo,V60 Recharge,2022,Vision system
check Jiyue CANBUS database health,system_status_check,Jiyue,07,2025,CANBUS
compare Noise and Vibration between Evija and Eletre,comparative_analysis,Lotus,Evija,2021,Noise and Vibration
LIDAR description Polestar Polestar 2,data_definition,Polestar,Polestar 2,2022,LIDAR
contact for Eletre TPMS access,access_governance,Lotus,Eletre,2023,TPMS
pull Acoustics history for 07,imperative_commands,Jiyue,07,2024,Acoustics
what about CAN-FD on the 01?,contextual_followups,Jiyue,01,2023,CAN-FD
since when canbus collected geely auto,temporal_stats,Geely Auto,Emigrant,2022,CANBUS
